2026/09/10 20:13更新,#genre#
CETV-1综合教育,http://www.661130.xyz:8188/rtp/239.69.1.110:10298
CHC家庭影院,http://www.661130.xyz:8188/rtp/239.69.1.243:11100
CHC影迷电影,http://www.661130.xyz:8188/rtp/239.69.1.241:11088
CHC动作电影,http://www.661130.xyz:8188/rtp/239.69.1.242:11094
河南武术世界,http://www.661130.xyz:8188/rtp/239.69.1.47:9922
湖南茶频道,http://www.661130.xyz:8188/rtp/239.69.1.144:10500
湖南金鹰纪实,http://www.661130.xyz:8188/rtp/239.69.1.109:10292
湖南金鹰卡通,http://www.661130.xyz:8188/rtp/239.69.1.248:11130

河南梨园频道,http://www.661130.xyz:8188/rtp/239.69.1.33:9838
武汉教育频道,http://www.661130.xyz:8188/rtp/239.69.1.60:9994
武汉文体频道,http://www.661130.xyz:8188/rtp/239.69.1.147:10518
武汉新闻综合,http://www.661130.xyz:8188/rtp/239.69.1.145:10506
武汉电视剧,http://www.661130.xyz:8188/rtp/239.69.1.146:10512
武汉科技生活,http://www.661130.xyz:8188/rtp/239.69.1.251:11148
湖南快乐垂钓,http://www.661130.xyz:8188/rtp/239.69.1.142:10488

BRTV卡酷少儿,http://www.661130.xyz:8188/rtp/239.69.1.193:10800
CCTV-高尔夫网球,http://www.661130.xyz:8188/rtp/239.69.1.83:10138
CGTN西班牙语,http://www.661130.xyz:8188/rtp/239.69.1.234:11046
CGTN记录片,http://www.661130.xyz:8188/rtp/239.69.1.233:11040
房县综合,http://www.661130.xyz:8188/rtp/239.69.1.192:10794
蔡甸综合,http://www.661130.xyz:8188/rtp/239.69.1.245:11112
阳新综合,http://www.661130.xyz:8188/rtp/239.69.1.34:9844

湖北电信-组播2,#genre#
湖北卫视,http://wlei.myds.me:52057/rtp/239.254.96.115:8664

湖北公共新闻,http://wlei.myds.me:52057/rtp/239.69.1.40:9880
湖北垄上频道,http://wlei.myds.me:52057/rtp/239.69.1.43:9898
湖北影视频道,http://wlei.myds.me:52057/rtp/239.69.1.204:10866
湖北教育频道,http://wlei.myds.me:52057/rtp/239.69.1.206:10878
湖北生活频道,http://wlei.myds.me:52057/rtp/239.69.1.205:10872
湖北经视频道,http://wlei.myds.me:52057/rtp/239.69.1.41:9886
湖北综合频道,http://wlei.myds.me:52057/rtp/239.69.1.42:9892

CCTV-1综合,http://wlei.myds.me:52057/rtp/239.254.96.96:8550
CCTV-2财经,http://wlei.myds.me:52057/rtp/239.69.1.102:10250
CCTV-3综艺,http://wlei.myds.me:52057/rtp/239.69.1.122:10370
CCTV-4中文国际,http://wlei.myds.me:52057/rtp/239.69.1.138:10466
CCTV-4中文国际欧洲,http://wlei.myds.me:52057/rtp/239.69.1.231:11028
CCTV-4中文国际美洲,http://wlei.myds.me:52057/rtp/239.69.1.232:11034
CCTV-5体育,http://wlei.myds.me:52057/rtp/239.69.1.123:10376
CCTV-5+体育赛事,http://wlei.myds.me:52057/rtp/239.254.96.234:9484
CCTV-6电影,http://wlei.myds.me:52057/rtp/239.69.1.124:10382
CCTV-7国防军事,http://wlei.myds.me:52057/rtp/239.69.1.103:10256
CCTV-8电视剧,http://wlei.myds.me:52057/rtp/239.69.1.125:10388
CCTV-9纪录,http://wlei.myds.me:52057/rtp/239.69.1.104:10262
CCTV-10科教,http://wlei.myds.me:52057/rtp/239.69.1.105:10268
CCTV-11戏曲,http://wlei.myds.me:52057/rtp/239.69.1.154:10560
CCTV-12社会与法,http://wlei.myds.me:52057/rtp/239.69.1.106:10274
CCTV-13新闻,http://wlei.myds.me:52057/rtp/239.254.96.161:9040
CCTV-14少儿,http://wlei.myds.me:52057/rtp/239.69.1.107:10280
CCTV-15音乐,http://wlei.myds.me:52057/rtp/239.69.1.155:10566
CCTV-16奥林匹克,http://wlei.myds.me:52057/rtp/239.69.1.247:11124
CCTV-17农业农村,http://wlei.myds.me:52057/rtp/239.69.1.152:10548
CCTV4K超高清,http://wlei.myds.me:52057/rtp/239.69.1.12:9712
CCTV16超高清,http://wlei.myds.me:52057/rtp/239.69.1.249:11136
湖南卫视,http://wlei.myds.me:52057/rtp/239.254.96.139:8908
浙江卫视,http://wlei.myds.me:52057/rtp/239.254.96.143:8932
江苏卫视,http://wlei.myds.me:52057/rtp/239.254.96.144:8938
北京卫视,http://wlei.myds.me:52057/rtp/239.254.96.141:8920
东方卫视,http://wlei.myds.me:52057/rtp/239.254.96.142:8926
安徽卫视,http://wlei.myds.me:52057/rtp/239.69.1.70:10060
广东卫视,http://wlei.myds.me:52057/rtp/239.254.96.140:8914
深圳卫视,http://wlei.myds.me:52057/rtp/239.254.96.137:8896
辽宁卫视,http://wlei.myds.me:52057/rtp/239.69.1.71:10066
山东卫视,http://wlei.myds.me:52057/rtp/239.69.1.69:10054
天津卫视,http://wlei.myds.me:52057/rtp/239.69.1.68:10048
重庆卫视,http://wlei.myds.me:52057/rtp/239.69.1.149:10530
东南卫视,http://wlei.myds.me:52057/rtp/239.69.1.108:10286
河北卫视,http://wlei.myds.me:52057/rtp/239.254.96.113:9616
河南卫视,http://wlei.myds.me:52057/rtp/239.69.1.168:10644
四川卫视,http://wlei.myds.me:52057/rtp/239.69.1.169:10650
海南卫视,http://wlei.myds.me:52057/rtp/239.69.1.151:10542
广西卫视,http://wlei.myds.me:52057/rtp/239.69.1.191:10788
贵州卫视,http://wlei.myds.me:52057/rtp/239.69.1.150:10536
黑龙江卫视,http://wlei.myds.me:52057/rtp/239.254.96.138:8902
江西卫视,http://wlei.myds.me:52057/rtp/239.69.1.126:10394
吉林卫视,http://wlei.myds.me:52057/rtp/239.69.1.212:10914
CCTV-风云足球,http://wlei.myds.me:52057/rtp/239.69.1.81:10126
CCTV-第一剧场,http://wlei.myds.me:52057/rtp/239.69.1.74:10084
CCTV-怀旧剧场,http://wlei.myds.me:52057/rtp/239.69.1.86:10156
CCTV-怀旧剧场,http://wlei.myds.me:52057/rtp/239.69.1.89:10174
CCTV-世界地理,http://wlei.myds.me:52057/rtp/239.69.1.91:10186
CCTV-兵器科技,http://wlei.myds.me:52057/rtp/239.69.1.79:10114
CCTV-央视台球,http://wlei.myds.me:52057/rtp/239.69.1.98:10224
CGTN法语,http://wlei.myds.me:52057/rtp/239.69.1.235:11052
CETV-1综合教育,http://wlei.myds.me:52057/rtp/239.69.1.110:10298
CHC家庭影院,http://wlei.myds.me:52057/rtp/239.69.1.243:11100
CHC影迷电影,http://wlei.myds.me:52057/rtp/239.69.1.241:11088
CHC动作电影,http://wlei.myds.me:52057/rtp/239.69.1.242:11094
河南武术世界,http://wlei.myds.me:52057/rtp/239.69.1.47:9922
湖南茶频道,http://wlei.myds.me:52057/rtp/239.69.1.144:10500
湖南金鹰纪实,http://wlei.myds.me:52057/rtp/239.69.1.109:10292
湖南金鹰卡通,http://wlei.myds.me:52057/rtp/239.69.1.248:11130

河南梨园频道,http://wlei.myds.me:52057/rtp/239.69.1.33:9838
武汉教育频道,http://wlei.myds.me:52057/rtp/239.69.1.60:9994
武汉文体频道,http://wlei.myds.me:52057/rtp/239.69.1.147:10518
武汉新闻综合,http://wlei.myds.me:52057/rtp/239.69.1.145:10506
武汉电视剧,http://wlei.myds.me:52057/rtp/239.69.1.146:10512
武汉科技生活,http://wlei.myds.me:52057/rtp/239.69.1.251:11148
湖南快乐垂钓,http://wlei.myds.me:52057/rtp/239.69.1.142:10488

BRTV卡酷少儿,http://wlei.myds.me:52057/rtp/239.69.1.193:10800
CCTV-高尔夫网球,http://wlei.myds.me:52057/rtp/239.69.1.83:10138
CGTN西班牙语,http://wlei.myds.me:52057/rtp/239.69.1.234:11046
CGTN记录片,http://wlei.myds.me:52057/rtp/239.69.1.233:11040
房县综合,http://wlei.myds.me:52057/rtp/239.69.1.192:10794
蔡甸综合,http://wlei.myds.me:52057/rtp/239.69.1.245:11112
阳新综合,http://wlei.myds.me:52057/rtp/239.69.1.34:9844

湖北电信-组播3,#genre#
湖北卫视,http://59.173.121.146:4022/rtp/239.254.96.115:8664

湖北公共新闻,http://59.173.121.146:4022/rtp/239.69.1.40:9880
湖北垄上频道,http://59.173.121.146:4022/rtp/239.69.1.43:9898
湖北影视频道,http://59.173.121.146:4022/rtp/239.69.1.204:10866
湖北教育频道,http://59.173.121.146:4022/rtp/239.69.1.206:10878
湖北生活频道,http://59.173.121.146:4022/rtp/239.69.1.205:10872
湖北经视频道,http://59.173.121.146:4022/rtp/239.69.1.41:9886
湖北综合频道,http://59.173.121.146:4022/rtp/239.69.1.42:9892

CCTV-1综合,http://59.173.121.146:4022/rtp/239.254.96.96:8550
CCTV-2财经,http://59.173.121.146:4022/rtp/239.69.1.102:10250
CCTV-3综艺,http://59.173.121.146:4022/rtp/239.69.1.122:10370
CCTV-4中文国际,http://59.173.121.146:4022/rtp/239.69.1.138:10466
CCTV-4中文国际欧洲,http://59.173.121.146:4022/rtp/239.69.1.231:11028
CCTV-4中文国际美洲,http://59.173.121.146:4022/rtp/239.69.1.232:11034
CCTV-5体育,http://59.173.121.146:4022/rtp/239.69.1.123:10376
CCTV-5+体育赛事,http://59.173.121.146:4022/rtp/239.254.96.234:9484
CCTV-6电影,http://59.173.121.146:4022/rtp/239.69.1.124:10382
CCTV-7国防军事,http://59.173.121.146:4022/rtp/239.69.1.103:10256
CCTV-8电视剧,http://59.173.121.146:4022/rtp/239.69.1.125:10388
CCTV-9纪录,http://59.173.121.146:4022/rtp/239.69.1.104:10262
CCTV-10科教,http://59.173.121.146:4022/rtp/239.69.1.105:10268
CCTV-11戏曲,http://59.173.121.146:4022/rtp/239.69.1.154:10560
CCTV-12社会与法,http://59.173.121.146:4022/rtp/239.69.1.106:10274
CCTV-13新闻,http://59.173.121.146:4022/rtp/239.254.96.161:9040
CCTV-14少儿,http://59.173.121.146:4022/rtp/239.69.1.107:10280
CCTV-15音乐,http://59.173.121.146:4022/rtp/239.69.1.155:10566
CCTV-16奥林匹克,http://59.173.121.146:4022/rtp/239.69.1.247:11124
CCTV-17农业农村,http://59.173.121.146:4022/rtp/239.69.1.152:10548
CCTV4K超高清,http://59.173.121.146:4022/rtp/239.69.1.12:9712
CCTV16超高清,http://59.173.121.146:4022/rtp/239.69.1.249:11136
湖南卫视,http://59.173.121.146:4022/rtp/239.254.96.139:8908
浙江卫视,http://59.173.121.146:4022/rtp/239.254.96.143:8932
江苏卫视,http://59.173.121.146:4022/rtp/239.254.96.144:8938
北京卫视,http://59.173.121.146:4022/rtp/239.254.96.141:8920
东方卫视,http://59.173.121.146:4022/rtp/239.254.96.142:8926
安徽卫视,http://59.173.121.146:4022/rtp/239.69.1.70:10060
广东卫视,http://59.173.121.146:4022/rtp/239.254.96.140:8914
深圳卫视,http://59.173.121.146:4022/rtp/239.254.96.137:8896
辽宁卫视,http://59.173.121.146:4022/rtp/239.69.1.71:10066
山东卫视,http://59.173.121.146:4022/rtp/239.69.1.69:10054
天津卫视,http://59.173.121.146:4022/rtp/239.69.1.68:10048
重庆卫视,http://59.173.121.146:4022/rtp/239.69.1.149:10530
东南卫视,http://59.173.121.146:4022/rtp/239.69.1.108:10286
河北卫视,http://59.173.121.146:4022/rtp/239.254.96.113:9616
河南卫视,http://59.173.121.146:4022/rtp/239.69.1.168:10644
四川卫视,http://59.173.121.146:4022/rtp/239.69.1.169:10650
海南卫视,http://59.173.121.146:4022/rtp/239.69.1.151:10542
广西卫视,http://59.173.121.146:4022/rtp/239.69.1.191:10788
贵州卫视,http://59.173.121.146:4022/rtp/239.69.1.150:10536
黑龙江卫视,http://59.173.121.146:4022/rtp/239.254.96.138:8902
江西卫视,http://59.173.121.146:4022/rtp/239.69.1.126:10394
吉林卫视,http://59.173.121.146:4022/rtp/239.69.1.212:10914
CCTV-风云足球,http://59.173.121.146:4022/rtp/239.69.1.81:10126
CCTV-第一剧场,http://59.173.121.146:4022/rtp/239.69.1.74:10084
CCTV-怀旧剧场,http://59.173.121.146:4022/rtp/239.69.1.86:10156
CCTV-怀旧剧场,http://59.173.121.146:4022/rtp/239.69.1.89:10174
CCTV-世界地理,http://59.173.121.146:4022/rtp/239.69.1.91:10186
CCTV-兵器科技,http://59.173.121.146:4022/rtp/239.69.1.79:10114
CCTV-央视台球,http://59.173.121.146:4022/rtp/239.69.1.98:10224
CGTN法语,http://59.173.121.146:4022/rtp/239.69.1.235:11052
CETV-1综合教育,http://59.173.121.146:4022/rtp/239.69.1.110:10298
CHC家庭影院,http://59.173.121.146:4022/rtp/239.69.1.243:11100
CHC影迷电影,http://59.173.121.146:4022/rtp/239.69.1.241:11088
CHC动作电影,http://59.173.121.146:4022/rtp/239.69.1.242:11094
河南武术世界,http://59.173.121.146:4022/rtp/239.69.1.47:9922
湖南茶频道,http://59.173.121.146:4022/rtp/239.69.1.144:10500
湖南金鹰纪实,http://59.173.121.146:4022/rtp/239.69.1.109:10292
湖南金鹰卡通,http://59.173.121.146:4022/rtp/239.69.1.248:11130

河南梨园频道,http://59.173.121.146:4022/rtp/239.69.1.33:9838
武汉教育频道,http://59.173.121.146:4022/rtp/239.69.1.60:9994
武汉文体频道,http://59.173.121.146:4022/rtp/239.69.1.147:10518
武汉新闻综合,http://59.173.121.146:4022/rtp/239.69.1.145:10506
武汉电视剧,http://59.173.121.146:4022/rtp/239.69.1.146:10512
武汉科技生活,http://59.173.121.146:4022/rtp/239.69.1.251:11148
湖南快乐垂钓,http://59.173.121.146:4022/rtp/239.69.1.142:10488

BRTV卡酷少儿,http://59.173.121.146:4022/rtp/239.69.1.193:10800
CCTV-高尔夫网球,http://59.173.121.146:4022/rtp/239.69.1.83:10138
CGTN西班牙语,http://59.173.121.146:4022/rtp/239.69.1.234:11046
CGTN记录片,http://59.173.121.146:4022/rtp/239.69.1.233:11040
房县综合,http://59.173.121.146:4022/rtp/239.69.1.192:10794
蔡甸综合,http://59.173.121.146:4022/rtp/239.69.1.245:11112
阳新综合,http://59.173.121.146:4022/rtp/239.69.1.34:9844

湖北电信-组播4,#genre#
湖北卫视,http://hiliu.myds.me:18088/rtp/239.254.96.115:8664

湖北公共新闻,http://hiliu.myds.me:18088/rtp/239.69.1.40:9880
湖北垄上频道,http://hiliu.myds.me:18088/rtp/239.69.1.43:9898
湖北影视频道,http://hiliu.myds.me:18088/rtp/239.69.1.204:10866
湖北教育频道,http://hiliu.myds.me:18088/rtp/239.69.1.206:10878
湖北生活频道,http://hiliu.myds.me:18088/rtp/239.69.1.205:10872
湖北经视频道,http://hiliu.myds.me:18088/rtp/239.69.1.41:9886
湖北综合频道,http://hiliu.myds.me:18088/rtp/239.69.1.42:9892

CCTV-1综合,http://hiliu.myds.me:18088/rtp/239.254.96.96:8550
CCTV-2财经,http://hiliu.myds.me:18088/rtp/239.69.1.102:10250
CCTV-3综艺,http://hiliu.myds.me:18088/rtp/239.69.1.122:10370
CCTV-4中文国际,http://hiliu.myds.me:18088/rtp/239.69.1.138:10466
CCTV-4中文国际欧洲,http://hiliu.myds.me:18088/rtp/239.69.1.231:11028
CCTV-4中文国际美洲,http://hiliu.myds.me:18088/rtp/239.69.1.232:11034
CCTV-5体育,http://hiliu.myds.me:18088/rtp/239.69.1.123:10376
CCTV-5+体育赛事,http://hiliu.myds.me:18088/rtp/239.254.96.234:9484
CCTV-6电影,http://hiliu.myds.me:18088/rtp/239.69.1.124:10382
CCTV-7国防军事,http://hiliu.myds.me:18088/rtp/239.69.1.103:10256
CCTV-8电视剧,http://hiliu.myds.me:18088/rtp/239.69.1.125:10388
CCTV-9纪录,http://hiliu.myds.me:18088/rtp/239.69.1.104:10262
CCTV-10科教,http://hiliu.myds.me:18088/rtp/239.69.1.105:10268
CCTV-11戏曲,http://hiliu.myds.me:18088/rtp/239.69.1.154:10560
CCTV-12社会与法,http://hiliu.myds.me:18088/rtp/239.69.1.106:10274
CCTV-13新闻,http://hiliu.myds.me:18088/rtp/239.254.96.161:9040
CCTV-14少儿,http://hiliu.myds.me:18088/rtp/239.69.1.107:10280
CCTV-15音乐,http://hiliu.myds.me:18088/rtp/239.69.1.155:10566
CCTV-16奥林匹克,http://hiliu.myds.me:18088/rtp/239.69.1.247:11124
CCTV-17农业农村,http://hiliu.myds.me:18088/rtp/239.69.1.152:10548
CCTV4K超高清,http://hiliu.myds.me:18088/rtp/239.69.1.12:9712
CCTV16超高清,http://hiliu.myds.me:18088/rtp/239.69.1.249:11136
湖南卫视,http://hiliu.myds.me:18088/rtp/239.254.96.139:8908
浙江卫视,http://hiliu.myds.me:18088/rtp/239.254.96.143:8932
江苏卫视,http://hiliu.myds.me:18088/rtp/239.254.96.144:8938
北京卫视,http://hiliu.myds.me:18088/rtp/239.254.96.141:8920
东方卫视,http://hiliu.myds.me:18088/rtp/239.254.96.142:8926
安徽卫视,http://hiliu.myds.me:18088/rtp/239.69.1.70:10060
广东卫视,http://hiliu.myds.me:18088/rtp/239.254.96.140:8914
深圳卫视,http://hiliu.myds.me:18088/rtp/239.254.96.137:8896
辽宁卫视,http://hiliu.myds.me:18088/rtp/239.69.1.71:10066
山东卫视,http://hiliu.myds.me:18088/rtp/239.69.1.69:10054
天津卫视,http://hiliu.myds.me:18088/rtp/239.69.1.68:10048
重庆卫视,http://hiliu.myds.me:18088/rtp/239.69.1.149:10530
东南卫视,http://hiliu.myds.me:18088/rtp/239.69.1.108:10286
河北卫视,http://hiliu.myds.me:18088/rtp/239.254.96.113:9616
河南卫视,http://hiliu.myds.me:18088/rtp/239.69.1.168:10644
四川卫视,http://hiliu.myds.me:18088/rtp/239.69.1.169:10650
海南卫视,http://hiliu.myds.me:18088/rtp/239.69.1.151:10542
广西卫视,http://hiliu.myds.me:18088/rtp/239.69.1.191:10788
贵州卫视,http://hiliu.myds.me:18088/rtp/239.69.1.150:10536
黑龙江卫视,http://hiliu.myds.me:18088/rtp/239.254.96.138:8902
江西卫视,http://hiliu.myds.me:18088/rtp/239.69.1.126:10394
吉林卫视,http://hiliu.myds.me:18088/rtp/239.69.1.212:10914
CCTV-风云足球,http://hiliu.myds.me:18088/rtp/239.69.1.81:10126
CCTV-第一剧场,http://hiliu.myds.me:18088/rtp/239.69.1.74:10084
CCTV-怀旧剧场,http://hiliu.myds.me:18088/rtp/239.69.1.86:10156
CCTV-怀旧剧场,http://hiliu.myds.me:18088/rtp/239.69.1.89:10174
CCTV-世界地理,http://hiliu.myds.me:18088/rtp/239.69.1.91:10186
CCTV-兵器科技,http://hiliu.myds.me:18088/rtp/239.69.1.79:10114
CCTV-央视台球,http://hiliu.myds.me:18088/rtp/239.69.1.98:10224
CGTN法语,http://hiliu.myds.me:18088/rtp/239.69.1.235:11052
CETV-1综合教育,http://hiliu.myds.me:18088/rtp/239.69.1.110:10298
CHC家庭影院,http://hiliu.myds.me:18088/rtp/239.69.1.243:11100
CHC影迷电影,http://hiliu.myds.me:18088/rtp/239.69.1.241:11088
CHC动作电影,http://hiliu.myds.me:18088/rtp/239.69.1.242:11094
河南武术世界,http://hiliu.myds.me:18088/rtp/239.69.1.47:9922
湖南茶频道,http://hiliu.myds.me:18088/rtp/239.69.1.144:10500
湖南金鹰纪实,http://hiliu.myds.me:18088/rtp/239.69.1.109:10292
湖南金鹰卡通,http://hiliu.myds.me:18088/rtp/239.69.1.248:11130

河南梨园频道,http://hiliu.myds.me:18088/rtp/239.69.1.33:9838
武汉教育频道,http://hiliu.myds.me:18088/rtp/239.69.1.60:9994
武汉文体频道,http://hiliu.myds.me:18088/rtp/239.69.1.147:10518
武汉新闻综合,http://hiliu.myds.me:18088/rtp/239.69.1.145:10506
武汉电视剧,http://hiliu.myds.me:18088/rtp/239.69.1.146:10512
武汉科技生活,http://hiliu.myds.me:18088/rtp/239.69.1.251:11148
湖南快乐垂钓,http://hiliu.myds.me:18088/rtp/239.69.1.142:10488

BRTV卡酷少儿,http://hiliu.myds.me:18088/rtp/239.69.1.193:10800
CCTV-高尔夫网球,http://hiliu.myds.me:18088/rtp/239.69.1.83:10138
CGTN西班牙语,http://hiliu.myds.me:18088/rtp/239.69.1.234:11046
CGTN记录片,http://hiliu.myds.me:18088/rtp/239.69.1.233:11040
房县综合,http://hiliu.myds.me:18088/rtp/239.69.1.192:10794
蔡甸综合,http://hiliu.myds.me:18088/rtp/239.69.1.245:11112
阳新综合,http://hiliu.myds.me:18088/rtp/239.69.1.34:9844

湖北电信-组播5,#genre#
湖北卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.115:8664

湖北公共新闻,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.40:9880
湖北垄上频道,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.43:9898
湖北影视频道,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.204:10866
湖北教育频道,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.206:10878
湖北生活频道,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.205:10872
湖北经视频道,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.41:9886
湖北综合频道,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.42:9892

CCTV-1综合,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.96:8550
CCTV-2财经,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.102:10250
CCTV-3综艺,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.122:10370
CCTV-4中文国际,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.138:10466
CCTV-4中文国际欧洲,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.231:11028
CCTV-4中文国际美洲,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.232:11034
CCTV-5体育,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.123:10376
CCTV-5+体育赛事,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.234:9484
CCTV-6电影,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.124:10382
CCTV-7国防军事,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.103:10256
CCTV-8电视剧,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.125:10388
CCTV-9纪录,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.104:10262
CCTV-10科教,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.105:10268
CCTV-11戏曲,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.154:10560
CCTV-12社会与法,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.106:10274
CCTV-13新闻,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.161:9040
CCTV-14少儿,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.107:10280
CCTV-15音乐,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.155:10566
CCTV-16奥林匹克,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.247:11124
CCTV-17农业农村,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.152:10548
CCTV4K超高清,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.12:9712
CCTV16超高清,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.249:11136
湖南卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.139:8908
浙江卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.143:8932
江苏卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.144:8938
北京卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.141:8920
东方卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.142:8926
安徽卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.70:10060
广东卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.140:8914
深圳卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.137:8896
辽宁卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.71:10066
山东卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.69:10054
天津卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.68:10048
重庆卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.149:10530
东南卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.108:10286
河北卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.254.96.113:9616
河南卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.168:10644
四川卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.169:10650
海南卫视,http://qnapxuan.mycloudnas.com:10001/rtp/239.69.1.151:10542
